horizon,mse,rmse,mae,mape,mdape,coverage
38 days 00:00:00.000000000,3187.323739573414,56.45638794302567,48.882789476506055,0.3994962727467022,0.3028206600049728,0.6142857142857142
39 days 00:00:00.000000000,2870.361694485404,53.57575659274821,45.398011741235095,0.4371197114780201,0.24614317685118528,0.6380952380952382
40 days 00:00:00.000000000,2561.0575971138874,50.60689278264264,42.66865377274176,0.4237258160358725,0.2126309013264288,0.6857142857142858
41 days 00:00:00.000000000,2659.220425804696,51.567629631433476,43.252090377255044,0.41008594963731543,0.21450062652948335,0.6412698412698413
42 days 00:00:00.000000000,2769.763775360933,52.62854525218166,43.904616645667936,0.4096994755180963,0.23348157748243534,0.6365079365079366
43 days 00:00:00.000000000,3082.1936886398935,55.517507946952136,47.11365564372272,0.4577467542466188,0.266241681702058,0.5888888888888889
44 days 00:00:00.000000000,3328.831307984022,57.6960250622521,49.35059679257838,0.5044245358152722,0.2880061392091008,0.5682539682539683
45 days 00:00:00.000000000,3852.934796341289,62.072012987668515,52.71823070146753,0.5008804106040685,0.3017204323499248,0.5571428571428572
46 days 00:00:00.000000000,3972.5962014359384,63.02853481904794,53.56021628272252,0.5685738323364632,0.28390722469207985,0.5412698412698413
47 days 00:00:00.000000000,3830.4142290799537,61.89034035356369,52.402275728925666,0.5660933443686189,0.282605630575335,0.5746031746031746
48 days 00:00:00.000000000,4545.3365816321375,67.41911139752688,55.89597014308014,0.6828333591744942,0.282605630575335,0.5571428571428572
49 days 00:00:00.000000000,5117.356125992126,71.53569826311984,57.44165768451664,0.7882146089240937,0.30442500414449836,0.5746031746031747
50 days 00:00:00.000000000,5818.081841748953,76.27635178578582,60.86313463658519,0.8689252845762376,0.282605630575335,0.5317460317460317
51 days 00:00:00.000000000,5889.42822033742,76.74261020018422,61.5365964562552,0.8789808556150256,0.3157534540179799,0.5047619047619049
52 days 00:00:00.000000000,6701.885882646006,81.86504676994942,65.65631254723976,0.9130201405081592,0.34027136776063016,0.45714285714285713
53 days 00:00:00.000000000,7550.076526969885,86.8911763470255,68.73392282480481,1.0024870753644781,0.36003004974180103,0.39841269841269833
54 days 00:00:00.000000000,7399.9636359647775,86.02304130850511,69.3061687040168,1.0824294302740851,0.36003004974180103,0.38888888888888895
55 days 00:00:00.000000000,8190.306656864728,90.50031302081075,72.26897846935981,1.0873934234651206,0.36003004974180103,0.39365079365079364
56 days 00:00:00.000000000,8640.473683867338,92.95414828756884,72.81128447356325,1.0280448920924383,0.36003004974180103,0.41904761904761906
57 days 00:00:00.000000000,8592.636322443244,92.69647416403303,72.66369079348607,1.046918904495444,0.36003004974180103,0.43492063492063493
58 days 00:00:00.000000000,7967.211595858723,89.25923815414696,70.50944857551846,1.0585921997471108,0.3655121598890202,0.4444444444444445
59 days 00:00:00.000000000,8050.616463521753,89.72522757575905,72.71545568102292,0.982635783826646,0.4292008593439512,0.45238095238095233
60 days 00:00:00.000000000,8236.280972944107,90.75395844228562,73.77091852799037,0.882590530218618,0.4593752661155115,0.4412698412698413
